question_id,is_correct,late_arithmetic,verbose_ungrounded,early_branching,depth,frac_facts,n_steps
gsm-hard-b2-59,True,0,0,0,4,0.375,8
gsm-hard-b2-60,True,0,0,0,3,0.5,6
gsm-hard-b2-61,True,0,0,0,3,0.5,6
gsm-hard-b2-62,True,0,0,0,4,0.428571,7
gsm-hard-b2-63,False,0,1,1,6,0.166667,12
gsm-hard-b2-64,True,0,0,0,5,0.333333,9
gsm-hard-b2-65,True,0,0,1,7,0.3,10
gsm-hard-b2-66,True,0,0,0,3,0.5,6
gsm-hard-b2-67,True,0,0,0,3,0.4,5
gsm-hard-b2-68,True,0,0,0,6,0.333333,9
gsm-hard-b2-69,True,0,0,0,4,0.333333,6
gsm-hard-b2-70,True,0,0,0,5,0.285714,7
gsm-hard-b2-71,True,0,0,0,4,0.428571,7
gsm-hard-b2-72,True,0,0,0,4,0.333333,6
gsm-hard-b2-73,True,0,0,0,4,0.428571,7
gsm-hard-b2-74,True,0,0,0,3,0.5,8
gsm-hard-b2-75,True,0,0,1,3,0.444444,9
gsm-hard-b2-76,True,0,0,1,5,0.375,8
gsm-hard-b2-77,True,0,0,0,4,0.428571,7
gsm-hard-b2-78,True,0,0,0,5,0.166667,6
gsm-hard-b2-79,False,0,0,0,5,0.333333,9
gsm-hard-b2-80,True,0,1,1,4,0.125,8
gsm-hard-b2-81,False,0,1,0,8,0.2,15
gsm-hard-b2-82,True,0,0,0,3,0.5,8
gsm-hard-b2-83,True,0,0,0,3,0.333333,6
gsm-hard-b2-84,True,0,0,0,5,0.375,8
gsm-hard-b2-85,False,0,0,0,4,0.166667,6
gsm-hard-b2-86,True,0,0,0,4,0.285714,7
gsm-hard-b2-87,True,0,0,0,4,0.428571,7
gsm-hard-b2-88,True,0,0,0,4,0.428571,7
gsm-hard-b2-89,True,0,0,0,5,0.4,10
gsm-hard-b2-90,True,0,0,0,3,0.4,5
gsm-hard-b2-91,True,0,0,0,4,0.444444,9
gsm-hard-b2-92,True,0,0,0,5,0.333333,9
gsm-hard-b2-93,True,0,0,0,4,0.5,8
gsm-hard-b2-94,False,0,0,0,4,0.5,8
gsm-hard-b2-95,True,0,0,0,4,0.428571,7
gsm-hard-b2-96,False,0,0,0,5,0.375,8
gsm-hard-b2-97,True,0,1,0,4,0.25,8
gsm-hard-b2-98,True,0,0,0,4,0.333333,6
gsm-hard-b2-99,True,0,0,0,4,0.428571,7
gsm-hard-b2-100,True,0,0,0,4,0.333333,6
gsm-hard-b2-101,True,0,0,0,3,0.333333,6
gsm-hard-b2-102,True,0,0,0,3,0.5,6
gsm-hard-b2-103,True,0,0,0,4,0.333333,6
gsm-hard-b2-104,True,0,0,1,5,0.333333,9
gsm-hard-b2-105,True,0,1,1,6,0.222222,9
gsm-hard-b2-106,True,0,0,0,5,0.5,10
gsm-hard-b2-107,True,0,0,0,4,0.285714,7
gsm-hard-b2-108,True,0,0,0,6,0.333333,12
gsm-hard-b2-109,True,0,0,0,5,0.285714,7
gsm-hard-b2-110,False,0,1,1,7,0.153846,13
gsm-hard-b2-111,True,0,0,0,4,0.363636,11
gsm-hard-b2-112,True,0,0,0,5,0.285714,7
gsm-hard-b2-113,True,0,0,0,4,0.5,8
gsm-hard-b2-114,True,0,0,0,4,0.375,8
gsm-hard-b2-115,True,0,0,0,4,0.333333,6
gsm-hard-b2-116,True,0,0,0,3,0.333333,6
gsm-hard-b2-117,True,0,0,1,5,0.142857,7
gsm-hard-b2-118,True,0,0,0,3,0.428571,7
gsm-hard-b2-119,True,0,1,1,7,0.272727,11
gsm-hard-b2-120,True,0,1,1,5,0.2,10
gsm-hard-b2-121,True,0,0,0,3,0.5,6
gsm-hard-b2-122,True,0,0,0,4,0.285714,7
gsm-hard-b2-123,True,0,0,0,5,0.4,10
gsm-hard-b2-124,True,0,0,0,4,0.375,8
gsm-hard-b2-125,False,0,0,0,6,0.416667,12
gsm-hard-b2-126,False,0,1,0,7,0.111111,9
gsm-hard-b2-127,True,0,0,0,5,0.666667,6
gsm-hard-b2-128,True,0,0,0,3,0.5,6
gsm-hard-b2-129,True,0,0,0,4,0.428571,7
gsm-hard-b2-130,True,0,0,0,4,0.5,8
gsm-hard-b2-131,True,0,0,0,6,0.333333,9
gsm-hard-b2-132,True,0,0,0,5,0.375,8
gsm-hard-b2-133,True,0,0,0,4,0.444444,9
gsm-hard-b2-134,True,0,0,0,3,0.285714,7
gsm-hard-b2-135,True,0,0,1,4,0.333333,9
gsm-hard-b2-136,True,0,0,0,4,0.444444,9
gsm-hard-b2-137,True,0,0,1,3,0.333333,6
gsm-hard-b2-138,True,0,0,0,4,0.333333,6
gsm-hard-b2-139,False,0,0,0,4,0.333333,9
gsm-hard-b2-140,True,0,0,0,3,0.5,6
gsm-hard-b2-141,True,0,0,0,3,0.375,8
gsm-hard-b2-142,True,0,0,0,5,0.5,10
gsm-hard-b2-143,True,0,0,0,4,0.333333,9
gsm-hard-b2-144,True,0,0,0,5,0.333333,9
gsm-hard-b2-145,True,0,0,0,4,0.428571,7
gsm-hard-b2-146,True,0,0,0,4,0.333333,9
gsm-hard-b2-147,True,0,0,0,4,0.333333,9
gsm-hard-b2-148,False,0,0,0,4,0.333333,6
gsm-hard-b2-149,True,0,0,0,3,0.5,6
