question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes,has_unsupported_arith,has_orphan,has_unsupported_conclude,low_fact_ratio,long_chain,motif_count
gsm-hard-30,False,10,5,4,4,1,0.4,0.4,0,0,1,4,1.3,1.3,1,0,1,0,0,0,1
gsm-hard-31,False,8,4,5,2,1,0.625,0.25,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-32,True,11,6,5,4,1,0.4545454545454545,0.3636363636363636,0,0,2,3,1.4545454545454546,1.4545454545454546,0,0,0,0,0,1,1
gsm-hard-33,True,9,5,6,2,1,0.6666666666666666,0.2222222222222222,1,0,1,2,1.0,1.0,0,1,0,0,1,0,2
gsm-hard-34,True,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-35,True,5,4,3,1,1,0.6,0.2,0,0,1,2,1.0,1.0,0,0,0,0,1,0,1
gsm-hard-36,True,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-37,True,8,3,3,3,1,0.375,0.375,0,0,2,2,1.25,1.25,0,0,0,0,0,0,0
gsm-hard-38,True,7,3,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-39,False,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-40,True,10,5,4,5,1,0.4,0.5,0,0,1,1,0.9,0.9,0,0,0,0,0,0,0
gsm-hard-41,True,8,5,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-42,False,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-43,False,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-44,True,8,5,5,2,1,0.625,0.25,0,0,1,3,1.25,1.25,0,0,0,0,0,0,0
gsm-hard-45,False,8,3,3,3,1,0.375,0.375,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-46,True,8,5,3,3,1,0.375,0.375,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-47,True,10,4,5,4,1,0.5,0.4,0,0,1,2,1.1,1.1,0,0,0,0,0,0,0
gsm-hard-48,False,8,6,4,2,1,0.5,0.25,0,0,1,2,1.125,1.125,0,0,0,0,0,1,1
gsm-hard-b2-8,False,8,4,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-b2-9,False,9,4,4,2,1,0.4444444444444444,0.2222222222222222,0,0,1,3,1.2222222222222223,1.2222222222222223,0,0,0,0,1,0,1
gsm-hard-b2-10,False,8,5,6,1,1,0.75,0.125,2,0,1,2,1.125,1.125,0,1,0,0,1,0,2
gsm-hard-b2-11,True,8,4,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-12,True,5,3,2,2,1,0.4,0.4,0,0,1,1,0.8,0.8,0,0,0,0,0,0,0
gsm-hard-b2-13,True,9,6,4,3,1,0.4444444444444444,0.3333333333333333,0,0,2,2,1.1111111111111112,1.1111111111111112,0,0,0,0,0,1,1
gsm-hard-b2-14,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-15,True,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,2,2,1.1666666666666667,1.1666666666666667,0,0,0,0,0,0,0
gsm-hard-b2-16,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-17,True,10,5,6,3,1,0.6,0.3,0,0,1,2,1.1,1.1,0,0,0,0,0,0,0
gsm-hard-b2-18,True,5,3,2,2,1,0.4,0.4,0,0,1,1,0.8,0.8,0,0,0,0,0,0,0
gsm-hard-b2-19,True,8,4,5,2,1,0.625,0.25,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-b2-20,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-21,False,12,5,6,5,1,0.5,0.4166666666666667,0,0,1,1,0.9166666666666666,0.9166666666666666,0,0,0,0,0,0,0
gsm-hard-b2-22,True,7,6,4,1,1,0.5714285714285714,0.1428571428571428,0,0,2,3,1.4285714285714286,1.4285714285714286,0,0,0,0,1,1,2
gsm-hard-b2-23,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-24,True,8,7,5,2,1,0.625,0.25,0,0,1,2,1.0,1.0,0,0,0,0,0,1,1
gsm-hard-b2-25,False,9,7,4,2,1,0.4444444444444444,0.2222222222222222,0,0,1,2,1.1111111111111112,1.1111111111111112,0,0,0,0,1,1,2
gsm-hard-b2-26,True,10,6,5,3,1,0.5,0.3,0,0,1,2,1.0,1.0,0,0,0,0,0,1,1
gsm-hard-b2-27,False,11,8,5,3,1,0.4545454545454545,0.2727272727272727,0,0,1,3,1.0909090909090908,1.0909090909090908,0,0,0,0,0,1,1
gsm-hard-b2-28,True,6,5,4,1,1,0.6666666666666666,0.1666666666666666,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,1,0,1
gsm-hard-b2-29,True,10,5,4,4,1,0.4,0.4,0,0,2,2,1.0,1.0,1,0,1,0,0,0,1
gsm-hard-b2-30,True,8,3,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-31,True,4,3,2,1,1,0.5,0.25,0,0,1,1,0.75,0.75,0,0,0,0,0,0,0
gsm-hard-b2-32,True,8,5,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-b2-33,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-34,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-35,True,5,3,2,2,1,0.4,0.4,0,0,1,1,0.8,0.8,0,0,0,0,0,0,0
gsm-hard-b2-36,False,9,5,4,3,1,0.4444444444444444,0.3333333333333333,0,0,2,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-37,True,5,4,3,1,1,0.6,0.2,0,0,1,3,1.2,1.2,0,0,0,0,1,0,1
gsm-hard-b2-38,True,6,3,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-39,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-40,True,9,5,4,3,1,0.4444444444444444,0.3333333333333333,0,0,1,1,0.8888888888888888,0.8888888888888888,0,0,0,0,0,0,0
gsm-hard-b2-41,True,5,3,2,2,1,0.4,0.4,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-42,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-43,True,9,3,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,2,1.1111111111111112,1.1111111111111112,0,0,0,0,0,0,0
gsm-hard-b2-44,True,7,3,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-45,True,7,3,4,2,1,0.5714285714285714,0.2857142857142857,2,0,2,1,0.8571428571428571,0.8571428571428571,0,1,0,0,0,0,1
gsm-hard-b2-46,False,12,7,4,5,1,0.3333333333333333,0.4166666666666667,0,0,2,1,0.9166666666666666,0.9166666666666666,0,0,0,0,0,1,1
gsm-hard-b2-47,True,8,4,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-48,True,7,4,2,3,1,0.2857142857142857,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-49,True,6,4,4,1,1,0.6666666666666666,0.1666666666666666,0,0,1,2,1.0,1.0,0,0,0,0,1,0,1
gsm-hard-b2-50,True,8,6,6,1,1,0.75,0.125,0,0,1,2,1.125,1.125,0,0,0,0,1,1,2
gsm-hard-b2-51,True,7,3,3,3,1,0.4285714285714285,0.4285714285714285,0,0,2,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-52,True,8,4,3,3,1,0.375,0.375,0,0,1,2,1.0,1.0,1,0,1,0,0,0,1
gsm-hard-b2-53,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-54,True,5,3,2,2,1,0.4,0.4,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-55,True,7,5,2,3,1,0.2857142857142857,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-56,True,8,4,4,2,1,0.5,0.25,0,0,2,4,1.5,1.5,0,0,0,0,0,0,0
gsm-hard-b2-57,True,5,4,3,1,1,0.6,0.2,0,0,1,2,1.0,1.0,0,0,0,0,1,0,1
gsm-hard-b2-58,True,5,3,2,2,1,0.4,0.4,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-59,True,7,5,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,2,1.1428571428571428,1.1428571428571428,0,0,0,0,0,0,0
gsm-hard-b2-60,True,7,3,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-61,True,5,3,2,2,1,0.4,0.4,0,0,1,1,0.8,0.8,0,0,0,0,0,0,0
gsm-hard-b2-62,True,7,4,2,3,1,0.2857142857142857,0.4285714285714285,0,0,2,2,1.2857142857142858,1.2857142857142858,0,0,0,0,0,0,0
gsm-hard-b2-63,False,9,5,6,2,1,0.6666666666666666,0.2222222222222222,0,0,1,2,1.0,1.0,0,0,0,0,1,0,1
gsm-hard-b2-64,True,9,4,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-65,True,8,7,3,1,1,0.375,0.125,0,0,2,2,1.5,1.5,0,0,0,0,1,1,2
gsm-hard-b2-66,True,4,3,2,1,1,0.5,0.25,0,0,1,1,0.75,0.75,0,0,0,0,0,0,0
gsm-hard-b2-67,True,4,3,2,1,1,0.5,0.25,0,0,1,1,0.75,0.75,0,0,0,0,0,0,0
gsm-hard-b2-68,False,9,3,4,3,1,0.4444444444444444,0.3333333333333333,0,0,1,2,0.8888888888888888,0.8888888888888888,1,0,1,0,0,0,1
gsm-hard-b2-69,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-70,True,8,5,4,2,1,0.5,0.25,0,0,2,3,1.5,1.5,0,0,0,0,0,0,0
gsm-hard-b2-71,True,7,4,2,3,1,0.2857142857142857,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-72,True,6,5,2,1,1,0.3333333333333333,0.1666666666666666,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,1,0,1
gsm-hard-b2-73,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-74,False,9,4,3,4,1,0.3333333333333333,0.4444444444444444,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-75,True,9,3,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,3,1.1111111111111112,1.1111111111111112,0,0,0,0,0,0,0
gsm-hard-b2-76,True,8,4,4,3,1,0.5,0.375,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-77,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-78,True,7,5,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-79,False,7,4,5,1,1,0.7142857142857143,0.1428571428571428,2,0,1,1,0.8571428571428571,0.8571428571428571,0,1,0,0,1,0,2
gsm-hard-b2-80,True,10,4,6,2,1,0.6,0.2,0,0,2,5,1.8,1.8,0,0,0,0,1,0,1
gsm-hard-b2-81,False,19,7,12,5,1,0.631578947368421,0.2631578947368421,0,0,1,7,1.263157894736842,1.263157894736842,1,0,1,0,0,1,2
gsm-hard-b2-82,True,8,3,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-83,True,8,4,3,3,1,0.375,0.375,0,0,1,2,0.875,0.875,1,0,1,0,0,0,1
gsm-hard-b2-84,True,9,6,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,3,1.2222222222222223,1.2222222222222223,0,0,0,0,0,1,1
gsm-hard-b2-85,False,7,4,3,2,1,0.4285714285714285,0.2857142857142857,0,0,2,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-86,True,9,5,5,2,1,0.5555555555555556,0.2222222222222222,0,0,2,2,1.1111111111111112,1.1111111111111112,0,0,0,0,1,0,1
gsm-hard-b2-87,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-88,True,5,4,3,1,1,0.6,0.2,0,0,1,2,1.0,1.0,0,0,0,0,1,0,1
gsm-hard-b2-89,True,9,5,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,1,0.8888888888888888,0.8888888888888888,0,0,0,0,0,0,0
gsm-hard-b2-90,True,7,3,3,2,1,0.4285714285714285,0.2857142857142857,0,0,1,3,1.2857142857142858,1.2857142857142858,1,0,1,0,0,0,1
gsm-hard-b2-91,True,8,5,6,1,1,0.75,0.125,2,0,1,2,1.0,1.0,0,1,0,0,1,0,2
gsm-hard-b2-92,True,10,5,4,4,1,0.4,0.4,0,0,2,3,1.4,1.4,0,0,0,0,0,0,0
gsm-hard-b2-93,True,9,5,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-94,False,7,4,2,3,1,0.2857142857142857,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-95,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-96,False,11,7,3,3,1,0.2727272727272727,0.2727272727272727,0,0,3,2,1.181818181818182,1.181818181818182,0,0,0,0,0,1,1
gsm-hard-b2-97,True,8,4,4,3,1,0.5,0.375,0,0,1,3,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-b2-98,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-99,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-100,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-101,True,5,2,2,2,1,0.4,0.4,0,0,2,1,0.8,0.8,0,0,0,0,0,0,0
gsm-hard-b2-102,True,4,3,2,1,1,0.5,0.25,0,0,1,1,0.75,0.75,0,0,0,0,0,0,0
gsm-hard-b2-103,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-104,False,10,4,5,3,1,0.5,0.3,0,0,1,2,1.0,1.0,1,0,1,0,0,0,1
gsm-hard-b2-105,True,7,4,4,1,1,0.5714285714285714,0.1428571428571428,0,0,2,2,1.1428571428571428,1.1428571428571428,0,0,0,0,1,0,1
gsm-hard-b2-106,True,9,5,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,1,0.8888888888888888,0.8888888888888888,0,0,0,0,0,0,0
gsm-hard-b2-107,True,8,4,4,3,1,0.5,0.375,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-108,True,11,7,5,4,1,0.4545454545454545,0.3636363636363636,0,0,1,1,0.9090909090909092,0.9090909090909092,0,0,0,0,0,1,1
gsm-hard-b2-109,True,8,6,5,2,1,0.625,0.25,0,0,1,3,1.125,1.125,0,0,0,0,0,1,1
gsm-hard-b2-110,False,13,5,10,2,1,0.7692307692307693,0.1538461538461538,0,0,1,7,1.9230769230769231,1.9230769230769231,0,0,0,0,1,0,1
gsm-hard-b2-111,True,8,4,6,1,1,0.75,0.125,2,0,1,2,1.0,1.0,0,1,0,0,1,0,2
gsm-hard-b2-112,True,8,6,4,2,1,0.5,0.25,0,0,1,1,0.875,0.875,0,0,0,0,0,1,1
gsm-hard-b2-113,False,7,5,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-114,True,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-115,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-116,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-117,True,7,5,5,1,1,0.7142857142857143,0.1428571428571428,0,0,1,3,1.1428571428571428,1.1428571428571428,0,0,0,0,1,0,1
gsm-hard-b2-118,True,7,3,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-119,True,12,8,5,2,1,0.4166666666666667,0.1666666666666666,0,0,1,2,1.0,1.0,1,0,1,0,1,1,3
gsm-hard-b2-120,True,9,4,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-121,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-122,True,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-123,True,10,4,4,4,1,0.4,0.4,0,0,1,2,1.0,1.0,1,0,1,0,0,0,1
gsm-hard-b2-124,True,9,4,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,2,1.2222222222222223,1.2222222222222223,0,0,0,0,0,0,0
gsm-hard-b2-125,False,10,5,5,4,1,0.5,0.4,0,0,1,1,0.9,0.9,0,0,0,0,0,0,0
gsm-hard-b2-126,True,10,8,5,2,1,0.5,0.2,0,0,1,2,1.0,1.0,0,0,0,0,1,1,2
gsm-hard-b2-127,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-128,True,5,3,2,2,1,0.4,0.4,0,0,1,1,0.8,0.8,0,0,0,0,0,0,0
gsm-hard-b2-129,True,4,3,2,1,1,0.5,0.25,0,0,1,1,0.75,0.75,0,0,0,0,0,0,0
gsm-hard-b2-130,True,8,4,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-131,True,8,5,4,3,1,0.5,0.375,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-132,True,8,5,4,3,1,0.5,0.375,0,0,1,3,1.0,1.0,1,0,1,0,0,0,1
gsm-hard-b2-133,True,7,4,4,2,1,0.5714285714285714,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-134,True,6,3,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-135,True,9,4,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,3,1.3333333333333333,1.3333333333333333,0,0,0,0,0,0,0
gsm-hard-b2-136,True,8,4,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-137,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-b2-138,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-139,True,6,3,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-140,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-141,True,8,4,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-142,True,10,4,4,5,1,0.4,0.5,0,0,1,1,0.9,0.9,0,0,0,0,0,0,0
gsm-hard-b2-143,True,9,4,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,2,1.1111111111111112,1.1111111111111112,0,0,0,0,0,0,0
gsm-hard-b2-144,True,8,5,5,2,1,0.625,0.25,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-b2-145,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-b2-146,True,8,3,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-147,True,8,3,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0,0,0,0,0,0,0
gsm-hard-b2-148,False,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-b2-149,True,8,4,3,3,1,0.375,0.375,0,0,1,2,1.125,1.125,1,0,1,0,0,0,1
gsm-hard-49,False,11,5,6,3,1,0.5454545454545454,0.2727272727272727,0,0,1,3,1.181818181818182,1.181818181818182,1,0,1,0,0,0,1
gsm-hard-b2-0,False,8,4,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
