question_id,is_correct,has_offschema_node,orphan_fact,linear_chain,high_fanin_conclude,failed_verification,linear_chain_x_nsteps,depth,n_steps,frac_facts
gsm-hard-37,True,0,0,0,0,1,0,3,8,0.375
gsm-hard-38,True,0,0,1,0,0,7,3,7,0.428571
gsm-hard-39,False,0,0,0,0,0,0,4,6,0.333333
gsm-hard-40,True,0,0,1,0,0,10,5,10,0.5
gsm-hard-41,True,0,0,1,0,0,8,5,8,0.375
gsm-hard-42,False,0,0,1,0,0,7,4,7,0.428571
gsm-hard-43,False,0,0,1,0,0,7,4,7,0.285714
gsm-hard-44,True,0,0,0,0,0,0,5,8,0.25
gsm-hard-45,False,1,0,1,0,0,8,3,8,0.375
gsm-hard-46,True,0,0,0,0,1,0,5,8,0.375
gsm-hard-47,True,0,0,1,0,0,10,4,10,0.4
gsm-hard-48,False,1,0,0,0,0,0,6,8,0.25
gsm-hard-b2-8,False,0,0,0,0,0,0,4,8,0.375
gsm-hard-b2-9,False,1,0,0,0,0,0,4,9,0.222222
gsm-hard-b2-10,False,0,0,0,0,0,0,5,8,0.125
gsm-hard-b2-11,True,0,0,1,0,0,8,4,8,0.5
gsm-hard-b2-12,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-13,True,0,0,0,0,1,0,6,9,0.333333
gsm-hard-b2-14,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-15,True,0,0,0,0,1,0,4,6,0.333333
gsm-hard-b2-16,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-17,True,0,0,1,0,0,10,5,10,0.3
gsm-hard-b2-18,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-19,True,0,0,0,0,0,0,4,8,0.25
gsm-hard-b2-20,True,0,0,0,0,0,0,4,6,0.333333
gsm-hard-b2-21,False,0,0,1,0,0,12,5,12,0.416667
gsm-hard-b2-22,True,0,0,0,0,1,0,6,7,0.142857
gsm-hard-b2-23,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-24,True,0,0,1,0,0,8,7,8,0.25
gsm-hard-b2-25,False,1,0,0,0,0,0,7,9,0.222222
gsm-hard-b2-26,True,0,0,1,0,1,10,6,10,0.3
gsm-hard-b2-27,False,1,0,0,0,0,0,8,11,0.272727
gsm-hard-b2-28,True,0,0,0,0,0,0,5,6,0.166667
gsm-hard-b2-29,True,1,1,1,0,0,10,5,10,0.4
gsm-hard-b2-30,True,0,0,1,0,0,8,3,8,0.5
gsm-hard-b2-31,True,0,0,0,0,0,0,3,4,0.25
gsm-hard-b2-32,True,0,0,0,0,0,0,5,8,0.375
gsm-hard-b2-33,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-34,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-35,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-36,False,0,0,1,0,1,9,5,9,0.333333
gsm-hard-b2-37,True,0,0,0,0,0,0,4,5,0.2
gsm-hard-b2-38,True,0,0,0,0,0,0,3,6,0.333333
gsm-hard-b2-39,True,0,0,0,0,0,0,4,6,0.333333
gsm-hard-b2-40,True,0,0,1,0,0,9,5,9,0.333333
gsm-hard-b2-41,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-42,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-43,True,0,0,0,0,0,0,3,9,0.444444
gsm-hard-b2-44,True,0,0,1,0,0,7,3,7,0.428571
gsm-hard-b2-45,True,0,0,1,0,0,7,3,7,0.285714
gsm-hard-b2-46,False,1,0,1,0,1,12,7,12,0.416667
gsm-hard-b2-47,True,0,0,1,0,0,8,4,8,0.5
gsm-hard-b2-48,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-49,True,0,0,0,0,0,0,4,6,0.166667
gsm-hard-b2-50,True,0,0,0,0,0,0,6,8,0.125
gsm-hard-b2-51,True,0,0,1,0,0,7,3,7,0.428571
gsm-hard-b2-52,True,1,0,1,0,0,8,4,8,0.375
gsm-hard-b2-53,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-54,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-55,True,0,0,1,0,0,7,5,7,0.428571
gsm-hard-b2-56,True,0,0,0,0,1,0,4,8,0.25
gsm-hard-b2-57,True,0,0,0,0,0,0,4,5,0.2
gsm-hard-b2-58,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-59,True,0,0,0,0,0,0,5,7,0.285714
gsm-hard-b2-60,True,0,0,1,0,0,7,3,7,0.428571
gsm-hard-b2-61,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-62,True,0,0,0,0,1,0,4,7,0.428571
gsm-hard-b2-63,False,0,0,1,0,0,9,5,9,0.222222
gsm-hard-b2-64,True,0,0,1,0,0,9,4,9,0.444444
gsm-hard-b2-65,True,1,0,0,0,1,0,7,8,0.125
gsm-hard-b2-66,True,0,0,0,0,0,0,3,4,0.25
gsm-hard-b2-67,True,0,0,0,0,0,0,3,4,0.25
gsm-hard-b2-68,False,0,0,1,0,0,9,3,9,0.333333
gsm-hard-b2-69,True,0,0,0,0,0,0,4,6,0.333333
gsm-hard-b2-70,True,0,0,0,0,1,0,5,8,0.25
gsm-hard-b2-71,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-72,True,1,0,0,0,0,0,5,6,0.166667
gsm-hard-b2-73,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-74,False,1,0,1,0,0,9,4,9,0.444444
gsm-hard-b2-75,True,0,0,0,0,0,0,3,9,0.444444
gsm-hard-b2-76,True,0,0,1,0,0,8,4,8,0.375
gsm-hard-b2-77,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-78,True,0,0,1,0,0,7,5,7,0.285714
gsm-hard-b2-79,False,0,0,1,0,0,7,4,7,0.142857
gsm-hard-b2-80,True,0,0,0,0,1,0,4,10,0.2
gsm-hard-b2-81,False,0,0,0,0,1,0,7,19,0.263158
gsm-hard-b2-82,True,0,0,1,0,0,8,3,8,0.5
gsm-hard-b2-83,True,0,0,1,0,1,8,4,8,0.375
gsm-hard-b2-84,True,0,0,0,0,0,0,6,9,0.333333
gsm-hard-b2-85,False,0,0,1,0,1,7,4,7,0.285714
gsm-hard-b2-86,True,0,0,0,0,1,0,5,9,0.222222
gsm-hard-b2-87,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-88,True,0,0,0,0,0,0,4,5,0.2
gsm-hard-b2-89,True,0,0,1,0,0,9,5,9,0.333333
gsm-hard-b2-90,True,0,0,0,0,1,0,3,7,0.285714
gsm-hard-b2-91,True,0,0,1,0,0,8,5,8,0.125
gsm-hard-b2-92,True,0,0,0,0,1,0,5,10,0.4
gsm-hard-b2-93,True,0,0,1,0,0,9,5,9,0.444444
gsm-hard-b2-94,False,1,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-95,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-96,False,1,0,0,1,1,0,7,11,0.272727
gsm-hard-b2-97,True,0,0,0,0,0,0,4,8,0.375
gsm-hard-b2-98,True,0,0,0,0,0,0,4,6,0.333333
gsm-hard-b2-99,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-100,True,0,0,0,0,0,0,4,6,0.333333
gsm-hard-b2-101,True,0,0,0,0,0,0,2,5,0.4
gsm-hard-b2-102,True,0,0,0,0,0,0,3,4,0.25
gsm-hard-b2-103,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-104,False,1,0,1,0,0,10,4,10,0.3
gsm-hard-b2-105,True,0,0,0,0,1,0,4,7,0.142857
gsm-hard-b2-106,True,0,0,1,0,0,9,5,9,0.444444
gsm-hard-b2-107,True,0,0,1,0,0,8,4,8,0.375
gsm-hard-b2-108,True,0,0,1,0,0,11,7,11,0.363636
gsm-hard-b2-109,True,0,0,0,0,0,0,6,8,0.25
gsm-hard-b2-110,False,0,0,0,0,0,0,5,13,0.153846
gsm-hard-b2-111,True,0,0,1,0,0,8,4,8,0.125
gsm-hard-b2-112,True,0,0,1,0,1,8,6,8,0.25
gsm-hard-b2-113,False,0,0,1,0,0,7,5,7,0.285714
gsm-hard-b2-114,True,0,0,1,0,0,7,4,7,0.285714
gsm-hard-b2-115,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-116,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-117,True,0,0,0,0,0,0,5,7,0.142857
gsm-hard-b2-118,True,0,0,1,0,0,7,3,7,0.428571
gsm-hard-b2-119,True,1,0,1,0,1,12,8,12,0.166667
gsm-hard-b2-120,True,0,0,1,0,0,9,4,9,0.333333
gsm-hard-b2-121,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-122,True,0,0,1,0,0,7,4,7,0.285714
gsm-hard-b2-123,True,0,0,1,0,1,10,4,10,0.4
gsm-hard-b2-124,True,0,0,0,0,0,0,4,9,0.333333
gsm-hard-b2-125,False,0,0,1,0,0,10,5,10,0.4
gsm-hard-b2-126,True,0,0,1,0,0,10,8,10,0.2
gsm-hard-b2-127,True,0,0,0,0,0,0,4,6,0.333333
gsm-hard-b2-128,True,0,0,0,0,0,0,3,5,0.4
gsm-hard-b2-129,True,0,0,0,0,0,0,3,4,0.25
gsm-hard-b2-130,True,0,0,1,0,0,8,4,8,0.5
gsm-hard-b2-131,True,0,0,1,0,0,8,5,8,0.375
gsm-hard-b2-132,True,0,1,0,0,0,0,5,8,0.375
gsm-hard-b2-133,True,0,0,1,0,0,7,4,7,0.285714
gsm-hard-b2-134,True,0,0,0,0,0,0,3,6,0.333333
gsm-hard-b2-135,True,0,0,0,0,0,0,4,9,0.333333
gsm-hard-b2-136,True,0,0,1,0,0,8,4,8,0.5
gsm-hard-b2-137,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-138,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-139,True,0,0,0,0,0,0,3,6,0.333333
gsm-hard-b2-140,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-141,True,0,0,1,0,0,8,4,8,0.375
gsm-hard-b2-142,True,0,0,1,0,0,10,4,10,0.5
gsm-hard-b2-143,True,0,0,0,0,0,0,4,9,0.333333
gsm-hard-b2-144,True,0,0,0,0,0,0,5,8,0.25
gsm-hard-b2-145,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-b2-146,True,0,0,1,0,0,8,3,8,0.375
gsm-hard-b2-147,True,0,0,1,0,0,8,3,8,0.375
gsm-hard-b2-148,False,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-149,True,1,0,0,0,0,0,4,8,0.375
gsm-hard-49,False,1,0,0,0,0,0,5,11,0.272727
gsm-hard-b2-0,False,0,0,0,0,0,0,4,8,0.375
gsm-hard-b2-1,False,1,0,0,0,1,0,8,13,0.307692
gsm-hard-b2-2,False,1,0,0,0,0,0,8,10,0.2
gsm-hard-b2-3,True,0,0,0,0,1,0,6,8,0.25
gsm-hard-b2-4,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-5,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-b2-6,False,0,0,0,0,1,0,4,9,0.333333
gsm-hard-b2-7,True,0,0,1,0,0,7,4,7,0.428571
